2019-07-01T17:15:43.983195{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1800, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:16:43.877970{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1787, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:17:44.239797{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1806, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:18:44.070524{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1808, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:19:44.243316{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1789, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:20:44.017650{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1772, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:21:44.079021{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1766, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:22:44.073470{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1788, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:23:44.234013{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1789, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T17:24:44.247545{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1783, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
