2019-07-01T16:29:43.944739{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2339, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:30:44.311092{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2294, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:31:44.331041{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2281, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:32:44.860083{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2309, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:33:44.285147{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2256, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:34:44.112984{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2253, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:44.109879{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2330, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:37:43.901015{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2277, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:39:43.905837{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2278, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:40:44.253803{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2247, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:41:44.279862{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2247, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:42:44.248261{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2249, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:43:45.032161{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2241, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:44:44.265710{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2221, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:45:44.258968{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2178, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
