2019-07-01T17:11:44.330792{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2225, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:12:44.351149{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2228, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:13:44.420281{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2233, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:14:44.180764{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2217, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:15:44.050773{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2195, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:16:44.002034{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2204, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:17:44.345041{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2193, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:19:43.797604{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2186, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:19:44.328157{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2186, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:20:44.148275{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2213, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
