2019-07-02T12:31:06.752739{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2388, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:32:06.014446{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2377, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:33:06.249909{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2367, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:34:05.965627{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2350, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:35:06.616618{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2232, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:36:06.290615{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2224, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:37:06.061733{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2205, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:38:07.149866{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2209, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:39:06.244796{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2191, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:40:06.316925{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2164, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:41:06.334089{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2158, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:42:06.097914{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2140, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:43:06.312352{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2137, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
